batch_idx,grad_type,layer,num_channels,bits_mean,bits_min,bits_max,step_mean,range_mean,grad_mean,grad_abs_mean,grad_abs_max,frac_push_bits_up,frac_push_bits_down,sum_g_over_s,mean_g_over_s,abs_mean_g_over_s,sens_mean,sens_max
0,likelihood,encoder.layers.1.blocks.0.attention.self.continuous_position_bias_mlp.2,6,8.0,8.0,8.0,0.004656918812543154,1.1921712160110474,0.01082170382142067,0.01581679843366146,0.04580000042915344,0.6666666865348816,0.3333333432674408,21.938282012939453,3.6563804149627686,5.548133373260498,4.731872797475304e-17,4.731872797475304e-17
0,likelihood,encoder.layers.1.blocks.0.attention.self.query,384,8.0,8.0,8.0,0.0003641513467300683,0.09322274476289749,0.0004198004899080843,0.001442008069716394,0.030656659975647926,0.5598958134651184,0.4401041567325592,509.2996826171875,1.3263012170791626,4.292531967163086,4.731872797475304e-17,4.908901624660269e-16
0,likelihood,encoder.layers.1.blocks.0.attention.self.key,384,8.0,8.0,8.0,0.0003305066202301532,0.08460969477891922,0.000900936545804143,0.008534607477486134,0.30440500378608704,0.4609375,0.5390625,3107.63720703125,8.092804908752441,32.1258430480957,4.731872797475304e-17,4.908901624660269e-16
0,likelihood,encoder.layers.1.blocks.0.attention.self.value,384,8.0,8.0,8.0,0.00029230944346636534,0.07483121752738953,0.0006736901705153286,0.009187680669128895,0.13971534371376038,0.4895833432674408,0.5104166865348816,1808.2352294921875,4.7089457511901855,40.43125534057617,4.731872797475304e-17,4.908901624660269e-16
0,likelihood,encoder.layers.1.blocks.0.attention.output.dense,384,8.0,8.0,8.0,0.00029382194043137133,0.07521841675043106,0.0005181097076274455,0.003310286672785878,0.07275254279375076,0.5416666865348816,0.4583333432674408,867.977294921875,2.260357618331909,11.84028148651123,4.731872797475304e-17,4.908901624660269e-16
0,likelihood,encoder.layers.1.blocks.0.intermediate.dense,1536,8.0,8.0,8.0,0.0001224846491822973,0.031356070190668106,-7.357116555795074e-05,0.00043454780825413764,0.010959567502140999,0.48828125,0.51171875,-308.1712646484375,-0.20063233375549316,1.4414089918136597,4.731873128347549e-17,4.731872797475304e-17
0,likelihood,encoder.layers.1.blocks.0.output.dense,384,8.0,8.0,8.0,0.00013171472528483719,0.03371896967291832,0.00023982183483894914,0.001447572372853756,0.018835442140698433,0.5026041865348816,0.4973958432674408,688.9063720703125,1.7940269708633423,11.106684684753418,4.731872797475304e-17,4.908901624660269e-16
0,likelihood,encoder.layers.1.blocks.1.attention.self.continuous_position_bias_mlp.0,512,8.0,8.0,8.0,0.0025995210744440556,0.6654773950576782,4.1963176045101136e-05,0.0006530610844492912,0.0067020682618021965,0.525390625,0.46484375,5.286508560180664,0.01032521203160286,0.2881726324558258,2.964329772642598e-17,2.964329772642598e-17
0,likelihood,encoder.layers.1.blocks.1.attention.self.continuous_position_bias_mlp.2,6,8.0,8.0,8.0,0.004131610505282879,1.057692289352417,0.0021708563435822725,0.008084469474852085,0.022207969799637794,0.6666666865348816,0.3333333432674408,-19.528480529785156,-3.254746675491333,5.678564071655273,2.964329772642598e-17,2.964329772642598e-17
0,likelihood,encoder.layers.1.blocks.1.attention.self.query,384,8.0,8.0,8.0,0.00031027127988636494,0.07942944765090942,6.474080873886123e-05,0.0011441679671406746,0.015310386195778847,0.5078125,0.4921875,15.583545684814453,0.04058215022087097,3.7520968914031982,2.964329772642598e-17,2.3164191173389616e-16
0,likelihood,encoder.layers.1.blocks.1.attention.self.key,384,8.0,8.0,8.0,0.000301456282613799,0.07717280834913254,8.224709745263681e-05,0.0013439144240692258,0.009432167746126652,0.5,0.5,65.15292358398438,0.16966907680034637,4.501765727996826,2.964329772642598e-17,2.3164191173389616e-16
0,likelihood,encoder.layers.1.blocks.1.attention.self.value,384,8.0,8.0,8.0,0.00027053215308114886,0.06925623118877411,3.5213830415159464e-05,0.005576991941779852,0.1176251545548439,0.4973958432674408,0.5026041865348816,-575.576904296875,-1.4988981485366821,22.980695724487305,2.964329772642598e-17,2.3164191173389616e-16
0,likelihood,encoder.layers.1.blocks.1.attention.output.dense,384,8.0,8.0,8.0,0.00026005585095845163,0.06657429784536362,0.0007040142081677914,0.005763849709182978,0.0837288349866867,0.5442708134651184,0.4557291567325592,854.6904296875,2.2257564067840576,24.471405029296875,2.964329772642598e-17,2.3164191173389616e-16
0,likelihood,encoder.layers.1.blocks.1.intermediate.dense,1536,8.0,8.0,8.0,0.00010688689508242533,0.027363045141100883,-8.835349581204355e-05,0.0006053612451069057,0.018842248246073723,0.51953125,0.48046875,-384.39794921875,-0.25025907158851624,2.271681785583496,2.964329772642598e-17,2.964329772642598e-17
0,likelihood,encoder.layers.1.blocks.1.output.dense,384,8.0,8.0,8.0,0.00012314306513871998,0.031524624675512314,7.034286682028323e-05,0.0019589446019381285,0.026226382702589035,0.5,0.5,316.84356689453125,0.8251134753227234,15.662727355957031,2.964329772642598e-17,2.3164191173389616e-16
0,likelihood,encoder.layers.1.blocks.2.attention.self.continuous_position_bias_mlp.0,512,8.0,8.0,8.0,0.0013172491453588009,0.337215781211853,0.00013821362517774105,0.0007695012609474361,0.018636586144566536,0.45703125,0.451171875,-19.562721252441406,-0.03820843994617462,1.10585618019104,2.274323829791689e-17,2.2743239952278115e-17
0,likelihood,encoder.layers.1.blocks.2.attention.self.continuous_position_bias_mlp.2,6,8.0,8.0,8.0,0.0030045832972973585,0.7691733241081238,-0.0003214362950529903,0.0011443023104220629,0.003545013489201665,0.1666666716337204,0.8333333134651184,-0.40061601996421814,-0.06676933914422989,0.26603659987449646,2.2743239952278115e-17,2.2743239952278115e-17
0,likelihood,encoder.layers.1.blocks.2.attention.self.query,384,8.0,8.0,8.0,0.0003111725964117795,0.07966018468141556,7.981859380379319e-05,0.0009893113747239113,0.014556145295500755,0.4973958432674408,0.5026041865348816,96.88236999511719,0.25229784846305847,3.3320236206054688,2.2743239952278115e-17,1.6699765421864844e-16
